company_name,uen_no,class,class_code,additional_info,expiry_date,building_no,street_name,unit_no,building_name,postal_code,tel_no
EASTORIA CONSTRUCTION PTE LTD,199708207E,General Builder Class 2,GB2,na,26/8/17,60,KAKI BUKIT PLACE,#02-01,EUNOS TECHPARK,415979,68415585
EBP CONSTRUCTION. PTE. LTD.,199300922M,General Builder Class 2,GB2,na,14/10/18,81,UBI AVENUE 4,#10-03,UB. ONE,408830,66047698
EBT INTERNATIONAL PTE. LTD.,201009380R,General Builder Class 1,GB1,na,16/10/16,10,ANSON ROAD,#10-11,INTERNATIONAL PLAZA,79903,62205658
ECHAN CONSTRUCTION PTE. LTD.,200005999D,General Builder Class 2,GB2,na,11/7/19,7030,ANG MO KIO AVENUE 5,#08-89,NORTHSTAR @ AMK,569880,65708232
ECK SHEN CONSTRUCTION & TRADING PTE LTD,199908177G,General Builder Class 2,GB2,na,16/6/18,10,BUKIT BATOK CRESCENT,#09-06,THE SPIRE,658079,67604992
ECO ENERGY PTE LTD,200802913R,General Builder Class 1,GB1,na,30/3/19,7,JURONG WEST AVENUE 5,#02-06,na,649486,62273323
ECO GREEN HUB PTE. LTD.,200902918N,General Builder Class 2,GB2,na,17/9/18,18,KAKI BUKIT ROAD 3,#04-10,ENTREPRENEUR BUSINESS CENTRE,415978,68412345
ECO LAND PTE. LTD.,200821726M,General Builder Class 2,GB2,na,5/9/17,4009,ANG MO KIO AVENUE 10,#01-33,TECH PLACE 1,569738,64511084
ECO PANELS PTE. LTD.,200608345Z,General Builder Class 2,GB2,na,29/10/17,15,MARSILING INDUSTRIAL ESTATE ROAD,#01-12,na,739171,63697129
ECOMASTER INTERNATIONAL PTE LTD,200904446K,General Builder Class 1,GB1,na,16/6/18,211,WOODLANDS AVENUE 9,#07-87/88,na,738960,63632505
ECON GEOTECH PTE LTD,201504731W,General Builder Class 2,GB2,na,14/7/18,57,UBI AVENUE 1,#04-05/06,UBI CENTRE,408936,64841238
ECON GEOTECH PTE LTD,199308558H,Specialist Builder (Ground Support and Stabilisation Works),SB(GS),na,2/7/18,57,UBI AVENUE 1,#04-05/06,UBI CENTRE,408936,64841238
